# EUC-JP.TXT
# Generated from JIS0208.TXT (JIS X 0208) and JIS0201.TXT (half-width katakana)
# EUC-JP encoding: JIS X 0208 row/col | 0x80, SS2+byte for half-kana
# Format: 0xNATIVE  0xUNICODE  # source
#
0xA7A2	0x0411	# JIS 0x2722
0xA7A3	0x0412	# JIS 0x2723
0xA7A4	0x0413	# JIS 0x2724
0xA7A5	0x0414	# JIS 0x2725
0xA7A6	0x0415	# JIS 0x2726
0xA7A7	0x0401	# JIS 0x2727
0xA7A8	0x0416	# JIS 0x2728
0xA7A9	0x0417	# JIS 0x2729
0xA7AA	0x0418	# JIS 0x272A
0xA7AB	0x0419	# JIS 0x272B
0xA7AC	0x041A	# JIS 0x272C
0xA7AD	0x041B	# JIS 0x272D
0xA7AE	0x041C	# JIS 0x272E
0xA7AF	0x041D	# JIS 0x272F
0xA7B0	0x041E	# JIS 0x2730
0xA7B1	0x041F	# JIS 0x2731
0xA7B2	0x0420	# JIS 0x2732
0xA7B3	0x0421	# JIS 0x2733
0xA7B4	0x0422	# JIS 0x2734
0xA7B5	0x0423	# JIS 0x2735
0xA7B6	0x0424	# JIS 0x2736
0xA7B7	0x0425	# JIS 0x2737
0xA7B8	0x0426	# JIS 0x2738
0xA7B9	0x0427	# JIS 0x2739
0xA7BA	0x0428	# JIS 0x273A
0xA7BB	0x0429	# JIS 0x273B
0xA7BC	0x042A	# JIS 0x273C
0xA7BD	0x042B	# JIS 0x273D
0xA7BE	0x042C	# JIS 0x273E
0xA7BF	0x042D	# JIS 0x273F
0xA7C0	0x042E	# JIS 0x2740
0xA7C1	0x042F	# JIS 0x2741
0xA7D1	0x0430	# JIS 0x2751
0xA7D2	0x0431	# JIS 0x2752
0xA7D3	0x0432	# JIS 0x2753
0xA7D4	0x0433	# JIS 0x2754
0xA7D5	0x0434	# JIS 0x2755
0xA7D6	0x0435	# JIS 0x2756
0xA7D7	0x0451	# JIS 0x2757
0xA7D8	0x0436	# JIS 0x2758
0xA7D9	0x0437	# JIS 0x2759
0xA7DA	0x0438	# JIS 0x275A
0xA7DB	0x0439	# JIS 0x275B
0xA7DC	0x043A	# JIS 0x275C
0xA7DD	0x043B	# JIS 0x275D
0xA7DE	0x043C	# JIS 0x275E
0xA7DF	0x043D	# JIS 0x275F
0xA7E0	0x043E	# JIS 0x2760
0xA7E1	0x043F	# JIS 0x2761
